GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BackendTestChallenge,com.freenow.apiUtility,CommonUtility,22,431,2,20,4,63,2,17,0,8
BackendTestChallenge,com.freenow.apiUtility,EmailValidator,0,51,0,2,0,13,0,5,0,4
BackendTestChallenge,com.freenow.constants,HttpMethods,3,0,0,0,1,0,1,0,1,0
BackendTestChallenge,com.freenow.constants,HttpStatusCodes,3,11,0,0,1,5,1,1,1,1
BackendTestChallenge,com.freenow.usersPojoForPost,UsersJson,32,52,0,0,16,18,8,9,8,9
BackendTestChallenge,com.freenow.usersPojoForPost,Geo,8,15,0,0,4,6,2,3,2,3
BackendTestChallenge,com.freenow.usersPojoForPost,UserJsonforCreation,0,48,0,0,0,8,0,2,0,2
BackendTestChallenge,com.freenow.usersPojoForPost,Company,12,21,0,0,6,8,3,4,3,4
BackendTestChallenge,com.freenow.usersPojoForPost,Address,20,33,0,0,10,12,5,6,5,6
BackendTestChallenge,com.freenow.excelsheetreader,ExcelSheetReader,0,60,0,4,0,11,0,4,0,2
BackendTestChallenge,com.freenow.excelsheetreader,ExcelDataReader,48,113,6,4,9,27,4,5,0,4
BackendTestChallenge,com.freenow.resources,ResourceURLs,0,50,0,0,0,16,0,6,0,6
BackendTestChallenge,com.freenow.resources,ParametersForUserAndPost,0,25,0,0,0,8,0,3,0,3
BackendTestChallenge,com.freenow.resources,SearchForUseName,0,17,0,0,0,7,0,3,0,3
BackendTestChallenge,com.freenow.restassuredmethods,RestAssuredMethodsCall,2,134,3,4,2,20,3,5,0,2
BackendTestChallenge,com.freenow.usersPojoForResponse,UsersJson,15,44,0,0,5,20,5,12,5,12
BackendTestChallenge,com.freenow.usersPojoForResponse,Address,15,23,0,0,5,11,5,6,5,6
BackendTestChallenge,com.freenow.usersPojoForResponse,Geo,6,11,0,0,2,5,2,3,2,3
BackendTestChallenge,com.freenow.usersPojoForResponse,Company,9,15,0,0,3,7,3,4,3,4
BackendTestChallenge,com.freenow.commonPojoForPost,CommentsJsonforCreation,0,24,0,0,0,5,0,2,0,2
BackendTestChallenge,com.freenow.commonPojoForPost,Posts,16,27,0,0,8,10,4,5,4,5
BackendTestChallenge,com.freenow.commonPojoForPost,PostJsonforCreation,0,22,0,0,0,5,0,2,0,2
BackendTestChallenge,com.freenow.commonPojoForPost,Comments,20,33,0,0,10,12,5,6,5,6
BackendTestChallenge,com.freenow.config,ConfigReader,16,41,0,0,4,12,0,3,0,3
BackendTestChallenge,com.freenow.commonPojoForResponse,Comments,12,26,0,0,4,12,4,7,4,7
BackendTestChallenge,com.freenow.commonPojoForResponse,Posts,3,28,0,0,1,12,1,8,1,8
